Location,FIPS,Value
National,00,13.7
Alabama,01,17.1
Alaska,02,12.4
Arizona,04,10.7
Arkansas,05,17.8
California,06,Na
Colorado,08,Na
Connecticut,09,12.3
Delaware,10,14.2
Florida,12,11.6
Georgia,13,12.7
Hawaii,15,13.4
Idaho,16,9.6
Illinois,17,11.5
Indiana,18,Na
Iowa,19,Na
Kansas,20,12.6
Kentucky,21,18
Louisiana,22,13.5
Maine,23,11.6
Maryland,24,11
Massachusetts,25,10.2
Michigan,26,13
Minnesota,27,Na
Mississippi,28,15.4
Missouri,29,14.9
Montana,30,9.4
Nebraska,31,12.7
Nevada,32,11.4
New Hampshire,33,11.2
New Jersey,34,8.7
New Mexico,35,12.6
New York,36,10.6
North Carolina,37,12.5
North Dakota,38,13.5
Ohio,39,13
Oklahoma,40,11.8
Oregon,41,Na
Pennsylvania,42,Na
Rhode Island,44,10.7
South Carolina,45,13.9
South Dakota,46,11.9
Tennessee,47,16.9
Texas,48,15.7
Utah,49,6.4
Vermont,50,13.2
Virginia,51,12
Washington,53,Na
West Virginia,54,15.6
Wisconsin,55,11.6
Wyoming,56,10.7
