Location,FIPS,Value
National,00,28.9
Alabama,01,33.5
Alaska,02,29.7
Arizona,04,28.9
Arkansas,05,35.9
California,06,24.7
Colorado,08,21.3
Connecticut,09,26.3
Delaware,10,30.7
District of Columbia,11,21.7
Florida,12,26.2
Georgia,13,30.5
Hawaii,15,22.1
Idaho,16,28.9
Illinois,17,29.3
Indiana,18,32.7
Iowa,19,30.9
Kansas,20,31.3
Kentucky,21,31.6
Louisiana,22,34.9
Maine,23,28.2
Maryland,24,29.6
Massachusetts,25,23.3
Michigan,26,30.7
Minnesota,27,27.6
Mississippi,28,35.5
Missouri,29,30.2
Montana,30,26.4
Nebraska,31,30.2
Nevada,32,27.7
New Hampshire,33,27.4
New Jersey,34,26.9
New Mexico,35,28.4
New York,36,27
North Carolina,37,29.7
North Dakota,38,32.2
Ohio,39,32.6
Oklahoma,40,33
Oregon,41,27.9
Pennsylvania,42,30.2
Rhode Island,44,27
South Carolina,45,32.1
South Dakota,46,29.8
Tennessee,47,31.2
Texas,48,31.9
Utah,49,25.7
Vermont,50,24.8
Virginia,51,28.5
Washington,53,27.3
West Virginia,54,35.7
Wisconsin,55,31.2
Wyoming,56,29.5
Guam,66,28
Puerto Rico,72,28.3
