year,statefips,countyfips,ds_pm_pred
2013,38,38089,5.548961232876712
2014,17,17123,11.224553698630137
2011,17,17183,10.662301463926941
2012,18,18079,10.656998269581056
2014,5,5077,9.828739931506849
2012,47,47031,9.423960724043716
2013,19,19155,9.262107148858448
2011,17,17011,10.388940308493151
2013,44,44003,7.621733375482964
2013,28,28125,9.268496712328767
2014,37,37037,10.150699241306639
2013,51,51610,9.364406940639269
2012,27,27081,8.729759153005464
2011,46,46123,6.629666953424658
2011,21,21201,9.941899268493151
2013,17,17107,10.171127363013699
2012,34,34003,9.645746483194432
2014,17,17179,11.559470447488584
2012,13,13265,9.729104644808743
2014,51,51135,8.802495821917808
2011,51,51071,9.027645601369863
2012,51,51035,8.329943930523029
2014,18,18157,10.707828142910033
2013,55,55059,9.8529414481409
2014,27,27081,6.461265726027397
2013,37,37113,7.65352298325723
2013,21,21063,8.854522328767123
2012,47,47001,10.266402094717668
2012,13,13037,9.590680191256831
2011,37,37193,9.061239202544031
2012,37,37079,8.950143784153006
2012,30,30089,5.527847577413479
2012,20,20087,9.380289207650273
2014,51,51085,8.806451899940441
2014,37,37123,9.847330136986301
2012,28,28129,9.532816302367942
2011,48,48081,7.555476495890411
2011,51,51155,9.110254018356164
2011,18,18175,10.782827061643836
2013,34,34027,8.952119832876712
2011,42,42127,8.01869074109589
2012,41,41031,6.278810510018215
2013,13,13009,9.742474207001522
2012,48,48203,9.739878864168618
2012,26,26119,7.489634961748634
2013,38,38077,7.444915251141552
2011,20,20075,6.873938342465753
2013,47,47161,9.22699605479452
2014,40,40113,9.323481270236613
2012,27,27049,9.786343387978142
2014,17,17047,11.48528502283105
2013,1,1125,10.484959685222967
2011,32,32017,5.56705975479452
2013,55,55103,8.877385698630137
2012,42,42043,11.693247738545607
2011,46,46037,7.369001442009132
2011,8,8023,4.955300973972603
2011,56,56027,5.714794353424658
2012,12,12035,6.188378908469945
2014,51,51175,8.817710356164384
2014,54,54011,10.126536797354747
2012,34,34041,9.23693420052269
2013,48,48139,9.733799469730446
2013,38,38081,6.992644520547945
2013,51,51061,8.290919629331184
2012,26,26049,9.627228825136612
2012,40,40075,7.712564571948998
2013,48,48143,8.079276746575342
2014,31,31039,8.511608584474886
2011,55,55087,10.283141626575342
2014,38,38009,5.439696904109589
2013,22,22113,8.661753584474886
2014,48,48403,8.937743378995434
2014,21,21003,10.315423515981735
2014,26,26129,7.561100622309198
2013,16,16039,6.780396438356164
2011,24,24510,10.695532375726027
2013,31,31081,8.031100639269406
2012,19,19009,9.127278506375228
2013,49,49025,4.489150150684932
2011,22,22119,9.744634994271482
2011,37,37031,8.538913680858941
2013,31,31153,9.327031857279388
2011,48,48263,7.41113325479452
2014,42,42027,9.761340335837384
2014,27,27095,6.098134375733855
2012,51,51197,8.260816971766849
2014,56,56011,4.675070315068493
2011,55,55015,10.088136041843088
2012,28,28001,8.460264268366727
2011,48,48067,9.745998476712329
2013,5,5037,9.623796073059361
2013,13,13311,8.442410684931507
2011,31,31165,5.63598497260274
2012,55,55035,9.064110792349727
2013,17,17031,11.39123378073877
2012,17,17187,10.215436557377049
2012,20,20135,7.42052281420765
2012,29,29067,8.956409198542805
2011,36,36049,7.245070977690802
2011,45,45039,10.139585838356164
2011,12,12103,7.737751557388278
2013,16,16057,7.019216673189824
2012,39,39089,11.14395887807377
