State FIPS Code,Postal Code,Name,"Poverty Percent, All Ages","Poverty Percent, Age 0-17",Median Household Income
00,US,United States,15.5,21.7,"53,657"
01,AL,Alabama,19.2,27.4,"42,917"
02,AK,Alaska,11.4,15.5,"70,898"
04,AZ,Arizona,18.2,25.6,"50,036"
05,AR,Arkansas,18.7,26.3,"41,335"
06,CA,California,16.4,22.6,"61,927"
08,CO,Colorado,12.1,15.6,"61,324"
09,CT,Connecticut,10.8,14.9,"70,007"
10,DE,Delaware,13.0,19.2,"59,853"
11,DC,District of Columbia,18.4,28.9,"69,992"
12,FL,Florida,16.6,24.2,"47,439"
13,GA,Georgia,18.4,26.3,"49,240"
15,HI,Hawaii,11.5,15.2,"69,549"
16,ID,Idaho,14.8,19.0,"47,572"
17,IL,Illinois,14.3,20.1,"57,458"
18,IN,Indiana,15.2,21.2,"49,384"
19,IA,Iowa,12.3,15.5,"53,816"
20,KS,Kansas,13.5,17.6,"52,392"
21,KY,Kentucky,19.0,25.9,"42,914"
22,LA,Louisiana,19.9,28.0,"44,680"
23,ME,Maine,14.0,19.0,"49,381"
24,MD,Maryland,10.4,13.8,"73,851"
25,MA,Massachusetts,11.7,15.3,"69,200"
26,MI,Michigan,16.2,22.6,"49,755"
27,MN,Minnesota,11.4,14.8,"61,473"
28,MS,Mississippi,21.9,30.7,"39,738"
29,MO,Missouri,15.5,21.3,"48,288"
30,MT,Montana,15.2,19.2,"46,608"
31,NE,Nebraska,12.3,16.0,"52,803"
32,NV,Nevada,15.4,22.2,"51,487"
33,NH,New Hampshire,9.2,12.6,"66,469"
34,NJ,New Jersey,11.1,15.8,"71,968"
35,NM,New Mexico,20.6,28.0,"44,905"
36,NY,New York,16.0,22.9,"58,771"
37,NC,North Carolina,17.2,24.1,"46,596"
38,ND,North Dakota,11.1,13.7,"60,227"
39,OH,Ohio,15.8,22.7,"49,349"
40,OK,Oklahoma,16.6,22.4,"47,524"
41,OR,Oregon,16.4,21.3,"51,088"
42,PA,Pennsylvania,13.6,19.2,"53,224"
44,RI,Rhode Island,14.8,21.2,"54,797"
45,SC,South Carolina,17.9,26.4,"45,337"
46,SD,South Dakota,14.1,18.4,"51,059"
47,TN,Tennessee,18.2,25.9,"44,357"
48,TX,Texas,17.2,24.5,"53,067"
49,UT,Utah,11.8,13.4,"60,943"
50,VT,Vermont,12.0,15.4,"54,153"
51,VA,Virginia,11.8,15.9,"64,923"
53,WA,Washington,13.2,17.5,"61,358"
54,WV,West Virginia,18.3,25.0,"41,030"
55,WI,Wisconsin,13.2,18.4,"52,632"
56,WY,Wyoming,11.2,13.7,"58,291"
